672	0	3
1328	0	1
2000	0	2
2656	0	1
3328	0	2
3984	0	1
4656	0	3
5312	0	1
5984	0	3
6640	0	1
7312	0	2
7968	0	1
8640	0	3
9296	0	1
9968	0	2
10624	0	1
11296	0	3
11952	0	1
12624	0	2
13280	0	1
13952	0	2
14608	0	1
15280	0	3
15936	0	1
16608	0	2
17264	0	1
17936	0	3
18592	0	1
19264	0	2
20000	0	1
20672	0	2
21328	0	1
22000	0	3
22656	0	1
23328	0	2
23984	0	1
24656	0	3
25312	0	1
25984	0	2
26640	0	1
27312	0	3
27968	0	1
28640	0	2
29296	0	1
29968	0	3
30624	0	1
31296	0	3
31952	0	1
32624	0	2
33280	0	1
33952	0	2
34608	0	1
35280	0	3
35936	0	1
36608	0	3
37264	0	1
37936	0	2
38592	0	1
39264	0	2
40000	0	1
40672	0	3
41328	0	1
42000	0	2
42656	0	1
43328	0	3
43984	0	1
44656	0	2
45312	0	1
45984	0	2
46640	0	1
47312	0	3
47968	0	1
48640	0	3
49296	0	1
49968	0	2
50624	0	1
51296	0	2
51952	0	1
52624	0	3
53280	0	1
53952	0	3
54608	0	1
55280	0	2
55936	0	1
56608	0	3
57264	0	1
57936	0	2
58592	0	1
59264	0	3
